n,F
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0.111111111111111
10,0.1
11,0.0909090909090909
12,0.0833333333333333
13,0.0769230769230769
14,0.142857142857143
15,0.133333333333333
16,0.125
17,0.176470588235294
18,0.166666666666667
19,0.157894736842105
20,0.15
21,0.142857142857143
22,0.136363636363636
23,0.173913043478261
24,0.208333333333333
25,0.24
26,0.230769230769231
27,0.222222222222222
28,0.214285714285714
29,0.206896551724138
30,0.233333333333333
31,0.258064516129032
32,0.28125
33,0.272727272727273
34,0.264705882352941
35,0.257142857142857
36,0.25
37,0.243243243243243
38,0.236842105263158
39,0.230769230769231
40,0.225
41,0.24390243902439
42,0.238095238095238
43,0.255813953488372
44,0.25
45,0.244444444444444
46,0.239130434782609
47,0.234042553191489
48,0.229166666666667
49,0.224489795918367
50,0.22
51,0.215686274509804
52,0.211538461538462
53,0.226415094339623
54,0.222222222222222
55,0.218181818181818
56,0.214285714285714
57,0.228070175438596
58,0.224137931034483
59,0.23728813559322
60,0.233333333333333
61,0.229508196721311
62,0.225806451612903
63,0.222222222222222
64,0.21875
65,0.215384615384615
66,0.212121212121212
67,0.208955223880597
68,0.220588235294118
69,0.217391304347826
70,0.214285714285714
71,0.211267605633803
72,0.208333333333333
73,0.219178082191781
74,0.216216216216216
75,0.213333333333333
76,0.210526315789474
77,0.207792207792208
78,0.205128205128205
79,0.20253164556962
80,0.2125
81,0.209876543209877
82,0.207317073170732
83,0.204819277108434
84,0.202380952380952
85,0.2
86,0.197674418604651
87,0.195402298850575
88,0.193181818181818
89,0.191011235955056
90,0.188888888888889
91,0.186813186813187
92,0.184782608695652
93,0.182795698924731
94,0.180851063829787
95,0.178947368421053
96,0.177083333333333
97,0.175257731958763
98,0.173469387755102
99,0.171717171717172
100,0.18
101,0.178217821782178
102,0.186274509803922
103,0.184466019417476
104,0.182692307692308
105,0.19047619047619
106,0.19811320754717
107,0.196261682242991
108,0.194444444444444
109,0.201834862385321
110,0.2
111,0.198198198198198
112,0.196428571428571
113,0.194690265486726
114,0.192982456140351
115,0.191304347826087
116,0.189655172413793
117,0.196581196581197
118,0.194915254237288
119,0.201680672268908
120,0.2
121,0.198347107438017
122,0.19672131147541
